x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,w_width,w_frac_width,w_row,w_col,w_row_depth,w_col_depth,loc,
3,1,1,1,8,8,2,1,3,1,8,8,63,
3,1,1,1,8,8,3,1,3,1,8,8,63,
3,1,1,1,8,8,4,1,3,1,8,8,63,
3,1,1,1,8,8,5,1,3,1,8,8,63,
3,1,1,1,8,8,6,1,3,1,8,8,63,
3,1,1,1,8,8,7,1,3,1,8,8,63,
3,1,1,1,8,8,8,1,3,1,8,8,63,
3,1,1,1,8,8,1,1,4,1,8,8,70,
3,1,1,1,8,8,2,1,4,1,8,8,70,
3,1,1,1,8,8,3,1,4,1,8,8,70,
3,1,1,1,8,8,4,1,4,1,8,8,70,
3,1,1,1,8,8,5,1,4,1,8,8,70,
3,1,1,1,8,8,6,1,4,1,8,8,70,
3,1,1,1,8,8,7,1,4,1,8,8,70,
3,1,1,1,8,8,8,1,4,1,8,8,70,
4,1,1,1,8,8,1,1,1,1,8,8,49,
4,1,1,1,8,8,2,1,1,1,8,8,49,
4,1,1,1,8,8,3,1,1,1,8,8,49,
4,1,1,1,8,8,4,1,1,1,8,8,49,
4,1,1,1,8,8,5,1,1,1,8,8,49,
4,1,1,1,8,8,6,1,1,1,8,8,49,
4,1,1,1,8,8,7,1,1,1,8,8,49,
4,1,1,1,8,8,8,1,1,1,8,8,49,
4,1,1,1,8,8,1,1,2,1,8,8,56,
4,1,1,1,8,8,2,1,2,1,8,8,56,
4,1,1,1,8,8,3,1,2,1,8,8,56,
4,1,1,1,8,8,4,1,2,1,8,8,56,
4,1,1,1,8,8,5,1,2,1,8,8,56,
4,1,1,1,8,8,6,1,2,1,8,8,56,
4,1,1,1,8,8,7,1,2,1,8,8,56,
4,1,1,1,8,8,8,1,2,1,8,8,56,
4,1,1,1,8,8,1,1,3,1,8,8,63,
4,1,1,1,8,8,2,1,3,1,8,8,63,
4,1,1,1,8,8,3,1,3,1,8,8,63,
4,1,1,1,8,8,4,1,3,1,8,8,63,
4,1,1,1,8,8,5,1,3,1,8,8,63,
4,1,1,1,8,8,6,1,3,1,8,8,63,
4,1,1,1,8,8,7,1,3,1,8,8,63,
4,1,1,1,8,8,8,1,3,1,8,8,63,
4,1,1,1,8,8,1,1,4,1,8,8,70,
4,1,1,1,8,8,2,1,4,1,8,8,70,
4,1,1,1,8,8,3,1,4,1,8,8,70,
4,1,1,1,8,8,4,1,4,1,8,8,70,
4,1,1,1,8,8,5,1,4,1,8,8,70,
4,1,1,1,8,8,6,1,4,1,8,8,70,
4,1,1,1,8,8,7,1,4,1,8,8,70,
4,1,1,1,8,8,8,1,4,1,8,8,70,
5,1,1,1,8,8,1,1,1,1,8,8,49,
5,1,1,1,8,8,2,1,1,1,8,8,49,
5,1,1,1,8,8,3,1,1,1,8,8,49,
5,1,1,1,8,8,4,1,1,1,8,8,49,
5,1,1,1,8,8,5,1,1,1,8,8,49,
5,1,1,1,8,8,6,1,1,1,8,8,49,
5,1,1,1,8,8,7,1,1,1,8,8,49,
5,1,1,1,8,8,8,1,1,1,8,8,49,
5,1,1,1,8,8,1,1,2,1,8,8,56,
5,1,1,1,8,8,2,1,2,1,8,8,56,
5,1,1,1,8,8,3,1,2,1,8,8,56,
5,1,1,1,8,8,4,1,2,1,8,8,56,
5,1,1,1,8,8,5,1,2,1,8,8,56,
5,1,1,1,8,8,6,1,2,1,8,8,56,
5,1,1,1,8,8,7,1,2,1,8,8,56,
5,1,1,1,8,8,8,1,2,1,8,8,56,
5,1,1,1,8,8,1,1,3,1,8,8,63,
5,1,1,1,8,8,2,1,3,1,8,8,63,
5,1,1,1,8,8,3,1,3,1,8,8,63,
5,1,1,1,8,8,4,1,3,1,8,8,63,
5,1,1,1,8,8,5,1,3,1,8,8,63,
5,1,1,1,8,8,6,1,3,1,8,8,63,
5,1,1,1,8,8,7,1,3,1,8,8,63,
5,1,1,1,8,8,8,1,3,1,8,8,63,
5,1,1,1,8,8,1,1,4,1,8,8,70,
5,1,1,1,8,8,2,1,4,1,8,8,70,
5,1,1,1,8,8,3,1,4,1,8,8,70,
5,1,1,1,8,8,4,1,4,1,8,8,70,
5,1,1,1,8,8,5,1,4,1,8,8,70,
5,1,1,1,8,8,6,1,4,1,8,8,70,
5,1,1,1,8,8,7,1,4,1,8,8,70,
5,1,1,1,8,8,8,1,4,1,8,8,70,
6,1,1,1,8,8,1,1,1,1,8,8,49,
6,1,1,1,8,8,2,1,1,1,8,8,49,
6,1,1,1,8,8,3,1,1,1,8,8,49,
6,1,1,1,8,8,4,1,1,1,8,8,49,
6,1,1,1,8,8,5,1,1,1,8,8,49,
6,1,1,1,8,8,6,1,1,1,8,8,49,
6,1,1,1,8,8,7,1,1,1,8,8,49,
6,1,1,1,8,8,8,1,1,1,8,8,49,
6,1,1,1,8,8,1,1,2,1,8,8,56,
6,1,1,1,8,8,2,1,2,1,8,8,56,
6,1,1,1,8,8,3,1,2,1,8,8,56,
6,1,1,1,8,8,4,1,2,1,8,8,56,
6,1,1,1,8,8,5,1,2,1,8,8,56,
6,1,1,1,8,8,6,1,2,1,8,8,56,
6,1,1,1,8,8,7,1,2,1,8,8,56,
6,1,1,1,8,8,8,1,2,1,8,8,56,
6,1,1,1,8,8,1,1,3,1,8,8,63,
6,1,1,1,8,8,2,1,3,1,8,8,63,
6,1,1,1,8,8,3,1,3,1,8,8,63,
6,1,1,1,8,8,4,1,3,1,8,8,63,
6,1,1,1,8,8,5,1,3,1,8,8,63,
6,1,1,1,8,8,6,1,3,1,8,8,63,
6,1,1,1,8,8,7,1,3,1,8,8,63,
6,1,1,1,8,8,8,1,3,1,8,8,63,
6,1,1,1,8,8,1,1,4,1,8,8,70,
6,1,1,1,8,8,2,1,4,1,8,8,70,
6,1,1,1,8,8,3,1,4,1,8,8,70,
6,1,1,1,8,8,4,1,4,1,8,8,70,
6,1,1,1,8,8,5,1,4,1,8,8,70,
6,1,1,1,8,8,6,1,4,1,8,8,70,
6,1,1,1,8,8,7,1,4,1,8,8,70,
6,1,1,1,8,8,8,1,4,1,8,8,70,
7,1,1,1,8,8,1,1,1,1,8,8,49,
7,1,1,1,8,8,2,1,1,1,8,8,49,
7,1,1,1,8,8,3,1,1,1,8,8,49,
7,1,1,1,8,8,4,1,1,1,8,8,49,
7,1,1,1,8,8,5,1,1,1,8,8,49,
7,1,1,1,8,8,6,1,1,1,8,8,49,
7,1,1,1,8,8,7,1,1,1,8,8,49,
7,1,1,1,8,8,8,1,1,1,8,8,49,
7,1,1,1,8,8,1,1,2,1,8,8,56,
7,1,1,1,8,8,2,1,2,1,8,8,56,
7,1,1,1,8,8,3,1,2,1,8,8,56,
7,1,1,1,8,8,4,1,2,1,8,8,56,
7,1,1,1,8,8,5,1,2,1,8,8,56,
7,1,1,1,8,8,6,1,2,1,8,8,56,
7,1,1,1,8,8,7,1,2,1,8,8,56,
7,1,1,1,8,8,8,1,2,1,8,8,56,
7,1,1,1,8,8,1,1,3,1,8,8,63,
7,1,1,1,8,8,2,1,3,1,8,8,63,
7,1,1,1,8,8,3,1,3,1,8,8,63,
7,1,1,1,8,8,4,1,3,1,8,8,63,
7,1,1,1,8,8,5,1,3,1,8,8,63,
7,1,1,1,8,8,6,1,3,1,8,8,63,
7,1,1,1,8,8,7,1,3,1,8,8,63,
7,1,1,1,8,8,8,1,3,1,8,8,63,
7,1,1,1,8,8,1,1,4,1,8,8,70,
7,1,1,1,8,8,2,1,4,1,8,8,70,
7,1,1,1,8,8,3,1,4,1,8,8,70,
7,1,1,1,8,8,4,1,4,1,8,8,70,
7,1,1,1,8,8,5,1,4,1,8,8,70,
7,1,1,1,8,8,6,1,4,1,8,8,70,
7,1,1,1,8,8,7,1,4,1,8,8,70,
7,1,1,1,8,8,8,1,4,1,8,8,70,
8,1,1,1,8,8,1,1,1,1,8,8,49,
8,1,1,1,8,8,2,1,1,1,8,8,49,
8,1,1,1,8,8,3,1,1,1,8,8,49,
8,1,1,1,8,8,4,1,1,1,8,8,49,
8,1,1,1,8,8,5,1,1,1,8,8,49,
8,1,1,1,8,8,6,1,1,1,8,8,49,
8,1,1,1,8,8,7,1,1,1,8,8,49,
8,1,1,1,8,8,8,1,1,1,8,8,49,
8,1,1,1,8,8,1,1,2,1,8,8,56,
8,1,1,1,8,8,2,1,2,1,8,8,56,
8,1,1,1,8,8,3,1,2,1,8,8,56,
8,1,1,1,8,8,4,1,2,1,8,8,56,
8,1,1,1,8,8,5,1,2,1,8,8,56,
8,1,1,1,8,8,6,1,2,1,8,8,56,
8,1,1,1,8,8,7,1,2,1,8,8,56,
8,1,1,1,8,8,8,1,2,1,8,8,56,
8,1,1,1,8,8,1,1,3,1,8,8,63,
8,1,1,1,8,8,2,1,3,1,8,8,63,
8,1,1,1,8,8,3,1,3,1,8,8,63,
8,1,1,1,8,8,4,1,3,1,8,8,63,
8,1,1,1,8,8,5,1,3,1,8,8,63,
8,1,1,1,8,8,6,1,3,1,8,8,63,
8,1,1,1,8,8,7,1,3,1,8,8,63,
8,1,1,1,8,8,8,1,3,1,8,8,63,
8,1,1,1,8,8,1,1,4,1,8,8,70,
8,1,1,1,8,8,2,1,4,1,8,8,70,
8,1,1,1,8,8,3,1,4,1,8,8,70,
8,1,1,1,8,8,4,1,4,1,8,8,70,
8,1,1,1,8,8,5,1,4,1,8,8,70,
8,1,1,1,8,8,6,1,4,1,8,8,70,
8,1,1,1,8,8,7,1,4,1,8,8,70,
8,1,1,1,8,8,8,1,4,1,8,8,70,
1,1,1,2,8,8,1,1,1,1,8,8,57,
1,1,1,2,8,8,2,1,1,1,8,8,57,
1,1,1,2,8,8,3,1,1,1,8,8,57,
1,1,1,2,8,8,4,1,1,1,8,8,57,
1,1,1,2,8,8,5,1,1,1,8,8,57,
1,1,1,2,8,8,6,1,1,1,8,8,57,
1,1,1,2,8,8,7,1,1,1,8,8,57,
1,1,1,2,8,8,8,1,1,1,8,8,57,
1,1,1,2,8,8,1,1,2,1,8,8,69,
1,1,1,2,8,8,2,1,2,1,8,8,69,
1,1,1,2,8,8,3,1,2,1,8,8,69,
1,1,1,2,8,8,4,1,2,1,8,8,69,
1,1,1,2,8,8,5,1,2,1,8,8,69,
1,1,1,2,8,8,6,1,2,1,8,8,69,
1,1,1,2,8,8,7,1,2,1,8,8,69,
1,1,1,2,8,8,8,1,2,1,8,8,69,
1,1,1,2,8,8,1,1,3,1,8,8,81,
1,1,1,2,8,8,2,1,3,1,8,8,81,
1,1,1,2,8,8,3,1,3,1,8,8,81,
1,1,1,2,8,8,4,1,3,1,8,8,81,
1,1,1,2,8,8,5,1,3,1,8,8,81,
1,1,1,2,8,8,6,1,3,1,8,8,81,
1,1,1,2,8,8,7,1,3,1,8,8,81,
1,1,1,2,8,8,8,1,3,1,8,8,81,
1,1,1,2,8,8,1,1,4,1,8,8,93,
1,1,1,2,8,8,2,1,4,1,8,8,93,
1,1,1,2,8,8,3,1,4,1,8,8,93,
1,1,1,2,8,8,4,1,4,1,8,8,93,
1,1,1,2,8,8,5,1,4,1,8,8,93,
1,1,1,2,8,8,6,1,4,1,8,8,93,
1,1,1,2,8,8,7,1,4,1,8,8,93,
1,1,1,2,8,8,8,1,4,1,8,8,93,
2,1,1,2,8,8,1,1,1,1,8,8,57,
2,1,1,2,8,8,2,1,1,1,8,8,57,
2,1,1,2,8,8,3,1,1,1,8,8,57,
2,1,1,2,8,8,4,1,1,1,8,8,57,
2,1,1,2,8,8,5,1,1,1,8,8,57,
2,1,1,2,8,8,6,1,1,1,8,8,57,
2,1,1,2,8,8,7,1,1,1,8,8,57,
2,1,1,2,8,8,8,1,1,1,8,8,57,
2,1,1,2,8,8,1,1,2,1,8,8,69,
2,1,1,2,8,8,2,1,2,1,8,8,69,
2,1,1,2,8,8,3,1,2,1,8,8,69,
2,1,1,2,8,8,4,1,2,1,8,8,69,
2,1,1,2,8,8,5,1,2,1,8,8,69,
2,1,1,2,8,8,6,1,2,1,8,8,69,
2,1,1,2,8,8,7,1,2,1,8,8,69,
2,1,1,2,8,8,8,1,2,1,8,8,69,
2,1,1,2,8,8,1,1,3,1,8,8,81,
2,1,1,2,8,8,2,1,3,1,8,8,81,
2,1,1,2,8,8,3,1,3,1,8,8,81,
2,1,1,2,8,8,4,1,3,1,8,8,81,
2,1,1,2,8,8,5,1,3,1,8,8,81,
2,1,1,2,8,8,6,1,3,1,8,8,81,
2,1,1,2,8,8,7,1,3,1,8,8,81,
2,1,1,2,8,8,8,1,3,1,8,8,81,
2,1,1,2,8,8,1,1,4,1,8,8,93,
2,1,1,2,8,8,2,1,4,1,8,8,93,
2,1,1,2,8,8,3,1,4,1,8,8,93,
2,1,1,2,8,8,4,1,4,1,8,8,93,
2,1,1,2,8,8,5,1,4,1,8,8,93,
2,1,1,2,8,8,6,1,4,1,8,8,93,
2,1,1,2,8,8,7,1,4,1,8,8,93,
2,1,1,2,8,8,8,1,4,1,8,8,93,
3,1,1,2,8,8,1,1,1,1,8,8,57,
3,1,1,2,8,8,2,1,1,1,8,8,57,
3,1,1,2,8,8,3,1,1,1,8,8,57,
3,1,1,2,8,8,4,1,1,1,8,8,57,
3,1,1,2,8,8,5,1,1,1,8,8,57,
3,1,1,2,8,8,6,1,1,1,8,8,57,
3,1,1,2,8,8,7,1,1,1,8,8,57,
3,1,1,2,8,8,8,1,1,1,8,8,57,
3,1,1,2,8,8,1,1,2,1,8,8,69,
3,1,1,2,8,8,2,1,2,1,8,8,69,
3,1,1,2,8,8,3,1,2,1,8,8,69,
3,1,1,2,8,8,4,1,2,1,8,8,69,
3,1,1,2,8,8,5,1,2,1,8,8,69,
3,1,1,2,8,8,6,1,2,1,8,8,69,
3,1,1,2,8,8,7,1,2,1,8,8,69,
3,1,1,2,8,8,8,1,2,1,8,8,69,
3,1,1,2,8,8,1,1,3,1,8,8,81,
3,1,1,2,8,8,2,1,3,1,8,8,81,
3,1,1,2,8,8,3,1,3,1,8,8,81,
3,1,1,2,8,8,4,1,3,1,8,8,81,
3,1,1,2,8,8,5,1,3,1,8,8,81,
3,1,1,2,8,8,6,1,3,1,8,8,81,
3,1,1,2,8,8,7,1,3,1,8,8,81,
3,1,1,2,8,8,8,1,3,1,8,8,81,
3,1,1,2,8,8,1,1,4,1,8,8,93,
3,1,1,2,8,8,2,1,4,1,8,8,93,
3,1,1,2,8,8,3,1,4,1,8,8,93,
3,1,1,2,8,8,4,1,4,1,8,8,93,
3,1,1,2,8,8,5,1,4,1,8,8,93,
3,1,1,2,8,8,6,1,4,1,8,8,93,
3,1,1,2,8,8,7,1,4,1,8,8,93,
3,1,1,2,8,8,8,1,4,1,8,8,93,
4,1,1,2,8,8,1,1,1,1,8,8,57,
4,1,1,2,8,8,2,1,1,1,8,8,57,
4,1,1,2,8,8,3,1,1,1,8,8,57,
4,1,1,2,8,8,4,1,1,1,8,8,57,
4,1,1,2,8,8,5,1,1,1,8,8,57,
4,1,1,2,8,8,6,1,1,1,8,8,57,
4,1,1,2,8,8,7,1,1,1,8,8,57,
4,1,1,2,8,8,8,1,1,1,8,8,57,
4,1,1,2,8,8,1,1,2,1,8,8,69,
4,1,1,2,8,8,2,1,2,1,8,8,69,
4,1,1,2,8,8,3,1,2,1,8,8,69,
4,1,1,2,8,8,4,1,2,1,8,8,69,
4,1,1,2,8,8,5,1,2,1,8,8,69,
4,1,1,2,8,8,6,1,2,1,8,8,69,
4,1,1,2,8,8,7,1,2,1,8,8,69,
4,1,1,2,8,8,8,1,2,1,8,8,69,
4,1,1,2,8,8,1,1,3,1,8,8,81,
4,1,1,2,8,8,2,1,3,1,8,8,81,
4,1,1,2,8,8,3,1,3,1,8,8,81,
4,1,1,2,8,8,4,1,3,1,8,8,81,
4,1,1,2,8,8,5,1,3,1,8,8,81,
4,1,1,2,8,8,6,1,3,1,8,8,81,
4,1,1,2,8,8,7,1,3,1,8,8,81,
4,1,1,2,8,8,8,1,3,1,8,8,81,
4,1,1,2,8,8,1,1,4,1,8,8,93,
4,1,1,2,8,8,2,1,4,1,8,8,93,
4,1,1,2,8,8,3,1,4,1,8,8,93,
4,1,1,2,8,8,4,1,4,1,8,8,93,
4,1,1,2,8,8,5,1,4,1,8,8,93,
4,1,1,2,8,8,6,1,4,1,8,8,93,
4,1,1,2,8,8,7,1,4,1,8,8,93,
4,1,1,2,8,8,8,1,4,1,8,8,93,
5,1,1,2,8,8,1,1,1,1,8,8,57,
5,1,1,2,8,8,2,1,1,1,8,8,57,
5,1,1,2,8,8,3,1,1,1,8,8,57,
5,1,1,2,8,8,4,1,1,1,8,8,57,
5,1,1,2,8,8,5,1,1,1,8,8,57,
5,1,1,2,8,8,6,1,1,1,8,8,57,
5,1,1,2,8,8,7,1,1,1,8,8,57,
5,1,1,2,8,8,8,1,1,1,8,8,57,
5,1,1,2,8,8,1,1,2,1,8,8,69,
5,1,1,2,8,8,2,1,2,1,8,8,69,
5,1,1,2,8,8,3,1,2,1,8,8,69,
5,1,1,2,8,8,4,1,2,1,8,8,69,
5,1,1,2,8,8,5,1,2,1,8,8,69,
5,1,1,2,8,8,6,1,2,1,8,8,69,
5,1,1,2,8,8,7,1,2,1,8,8,69,
5,1,1,2,8,8,8,1,2,1,8,8,69,
5,1,1,2,8,8,1,1,3,1,8,8,81,
5,1,1,2,8,8,2,1,3,1,8,8,81,
5,1,1,2,8,8,3,1,3,1,8,8,81,
5,1,1,2,8,8,4,1,3,1,8,8,81,
5,1,1,2,8,8,5,1,3,1,8,8,81,
5,1,1,2,8,8,6,1,3,1,8,8,81,
5,1,1,2,8,8,7,1,3,1,8,8,81,
5,1,1,2,8,8,8,1,3,1,8,8,81,
5,1,1,2,8,8,1,1,4,1,8,8,93,
5,1,1,2,8,8,2,1,4,1,8,8,93,
5,1,1,2,8,8,3,1,4,1,8,8,93,
5,1,1,2,8,8,4,1,4,1,8,8,93,
5,1,1,2,8,8,5,1,4,1,8,8,93,
5,1,1,2,8,8,6,1,4,1,8,8,93,
5,1,1,2,8,8,7,1,4,1,8,8,93,
5,1,1,2,8,8,8,1,4,1,8,8,93,
6,1,1,2,8,8,1,1,1,1,8,8,57,
6,1,1,2,8,8,2,1,1,1,8,8,57,
6,1,1,2,8,8,3,1,1,1,8,8,57,
6,1,1,2,8,8,4,1,1,1,8,8,57,
6,1,1,2,8,8,5,1,1,1,8,8,57,
6,1,1,2,8,8,6,1,1,1,8,8,57,
6,1,1,2,8,8,7,1,1,1,8,8,57,
6,1,1,2,8,8,8,1,1,1,8,8,57,
6,1,1,2,8,8,1,1,2,1,8,8,69,
6,1,1,2,8,8,2,1,2,1,8,8,69,
6,1,1,2,8,8,3,1,2,1,8,8,69,
6,1,1,2,8,8,4,1,2,1,8,8,69,
6,1,1,2,8,8,5,1,2,1,8,8,69,
6,1,1,2,8,8,6,1,2,1,8,8,69,
6,1,1,2,8,8,7,1,2,1,8,8,69,
6,1,1,2,8,8,8,1,2,1,8,8,69,
6,1,1,2,8,8,1,1,3,1,8,8,81,
6,1,1,2,8,8,2,1,3,1,8,8,81,
6,1,1,2,8,8,3,1,3,1,8,8,81,
6,1,1,2,8,8,4,1,3,1,8,8,81,
6,1,1,2,8,8,5,1,3,1,8,8,81,
6,1,1,2,8,8,6,1,3,1,8,8,81,
6,1,1,2,8,8,7,1,3,1,8,8,81,
6,1,1,2,8,8,8,1,3,1,8,8,81,
6,1,1,2,8,8,1,1,4,1,8,8,93,
6,1,1,2,8,8,2,1,4,1,8,8,93,
6,1,1,2,8,8,3,1,4,1,8,8,93,
6,1,1,2,8,8,4,1,4,1,8,8,93,
6,1,1,2,8,8,5,1,4,1,8,8,93,
6,1,1,2,8,8,6,1,4,1,8,8,93,
6,1,1,2,8,8,7,1,4,1,8,8,93,
6,1,1,2,8,8,8,1,4,1,8,8,93,
7,1,1,2,8,8,1,1,1,1,8,8,57,
7,1,1,2,8,8,2,1,1,1,8,8,57,
7,1,1,2,8,8,3,1,1,1,8,8,57,
7,1,1,2,8,8,4,1,1,1,8,8,57,
7,1,1,2,8,8,5,1,1,1,8,8,57,
7,1,1,2,8,8,6,1,1,1,8,8,57,
7,1,1,2,8,8,7,1,1,1,8,8,57,
7,1,1,2,8,8,8,1,1,1,8,8,57,
7,1,1,2,8,8,1,1,2,1,8,8,69,
7,1,1,2,8,8,2,1,2,1,8,8,69,
7,1,1,2,8,8,3,1,2,1,8,8,69,
7,1,1,2,8,8,4,1,2,1,8,8,69,
7,1,1,2,8,8,5,1,2,1,8,8,69,
7,1,1,2,8,8,6,1,2,1,8,8,69,
7,1,1,2,8,8,7,1,2,1,8,8,69,
7,1,1,2,8,8,8,1,2,1,8,8,69,
7,1,1,2,8,8,1,1,3,1,8,8,81,
7,1,1,2,8,8,2,1,3,1,8,8,81,
7,1,1,2,8,8,3,1,3,1,8,8,81,
7,1,1,2,8,8,4,1,3,1,8,8,81,
7,1,1,2,8,8,5,1,3,1,8,8,81,
7,1,1,2,8,8,6,1,3,1,8,8,81,
7,1,1,2,8,8,7,1,3,1,8,8,81,
7,1,1,2,8,8,8,1,3,1,8,8,81,
7,1,1,2,8,8,1,1,4,1,8,8,93,
7,1,1,2,8,8,2,1,4,1,8,8,93,
7,1,1,2,8,8,3,1,4,1,8,8,93,
7,1,1,2,8,8,4,1,4,1,8,8,93,
7,1,1,2,8,8,5,1,4,1,8,8,93,
7,1,1,2,8,8,6,1,4,1,8,8,93,
7,1,1,2,8,8,7,1,4,1,8,8,93,
7,1,1,2,8,8,8,1,4,1,8,8,93,
8,1,1,2,8,8,1,1,1,1,8,8,57,
8,1,1,2,8,8,2,1,1,1,8,8,57,
8,1,1,2,8,8,3,1,1,1,8,8,57,
8,1,1,2,8,8,4,1,1,1,8,8,57,
8,1,1,2,8,8,5,1,1,1,8,8,57,
8,1,1,2,8,8,6,1,1,1,8,8,57,
8,1,1,2,8,8,7,1,1,1,8,8,57,
8,1,1,2,8,8,8,1,1,1,8,8,57,
8,1,1,2,8,8,1,1,2,1,8,8,69,
8,1,1,2,8,8,2,1,2,1,8,8,69,
8,1,1,2,8,8,3,1,2,1,8,8,69,
8,1,1,2,8,8,4,1,2,1,8,8,69,
8,1,1,2,8,8,5,1,2,1,8,8,69,
8,1,1,2,8,8,6,1,2,1,8,8,69,
8,1,1,2,8,8,7,1,2,1,8,8,69,
8,1,1,2,8,8,8,1,2,1,8,8,69,
8,1,1,2,8,8,1,1,3,1,8,8,81,
8,1,1,2,8,8,2,1,3,1,8,8,81,
8,1,1,2,8,8,3,1,3,1,8,8,81,
8,1,1,2,8,8,4,1,3,1,8,8,81,
8,1,1,2,8,8,5,1,3,1,8,8,81,
8,1,1,2,8,8,6,1,3,1,8,8,81,
8,1,1,2,8,8,7,1,3,1,8,8,81,
8,1,1,2,8,8,8,1,3,1,8,8,81,
8,1,1,2,8,8,1,1,4,1,8,8,93,
8,1,1,2,8,8,2,1,4,1,8,8,93,
8,1,1,2,8,8,3,1,4,1,8,8,93,
8,1,1,2,8,8,4,1,4,1,8,8,93,
8,1,1,2,8,8,5,1,4,1,8,8,93,
8,1,1,2,8,8,6,1,4,1,8,8,93,
8,1,1,2,8,8,7,1,4,1,8,8,93,
8,1,1,2,8,8,8,1,4,1,8,8,93,
1,1,1,3,8,8,1,1,1,1,8,8,65,
